GENENAME	GENEID
Rho	ENSMUSG00000030324
Ppcdc	ENSMUSG00000063849
Nxnl2	ENSMUSG00000021396
Ctxn1	ENSMUSG00000048644
Timm44	ENSMUSG00000002949
Rcvrn	ENSMUSG00000020907
Rbm45	ENSMUSG00000042369
Gnat1	ENSMUSG00000034837
Pla2r1	ENSMUSG00000054580
Ppie	ENSMUSG00000028651
Klhl36	ENSMUSG00000031828
Anks1	ENSMUSG00000024219
Exoc3l	ENSMUSG00000043251
E2f4	ENSMUSG00000014859
Vtn	ENSMUSG00000017344
Sarm1	ENSMUSG00000050132
Rdh12	ENSMUSG00000021123
Top2b	ENSMUSG00000017485
Agap3	ENSMUSG00000023353
Hspa1b	ENSMUSG00000090877
Pex5l	ENSMUSG00000027674
Eif3f	ENSMUSG00000031029
C4bp	ENSMUSG00000026405
Agpat5	ENSMUSG00000031467
Plpp1	ENSMUSG00000021759
Nadk	ENSMUSG00000029063
Gnb1	ENSMUSG00000029064
Psd2	ENSMUSG00000024347
Msmp	ENSMUSG00000078719
Npr2	ENSMUSG00000028469
Hnrnpf	ENSMUSG00000042079
Lsm14b	ENSMUSG00000039108
Xxylt1	ENSMUSG00000047434
Plpp2	ENSMUSG00000052151
Sla2	ENSMUSG00000027636
Clk3	ENSMUSG00000032316
Fbln7	ENSMUSG00000027386
Tmem87b	ENSMUSG00000014353
Rabggtb	ENSMUSG00000038975
Vldlr	ENSMUSG00000024924
Ttll3	ENSMUSG00000030276
Rpusd3	ENSMUSG00000051169
Crispld2	ENSMUSG00000031825
Klre1	ENSMUSG00000050241
Srsf4	ENSMUSG00000028911
Mecr	ENSMUSG00000028910
Rhbdl3	ENSMUSG00000017692
Pitpnm3	ENSMUSG00000040543
Slc20a1	ENSMUSG00000027397
Dpf3	ENSMUSG00000021221
Susd3	ENSMUSG00000021384
Cnot7	ENSMUSG00000031601
Vps37a	ENSMUSG00000031600
Hmgn1	ENSMUSG00000040681
Brwd1	ENSMUSG00000022914
Sirpa	ENSMUSG00000037902
3110070M22Rik	ENSMUSG00000074635
4833420G17Rik	ENSMUSG00000062822
Ppm1b	ENSMUSG00000061130
Ppia	ENSMUSG00000071866
Atp11b	ENSMUSG00000037400
Rdm1	ENSMUSG00000010362
Lmnb1	ENSMUSG00000024590
Gpr135	ENSMUSG00000043398
Figla	ENSMUSG00000030001
Dusp11	ENSMUSG00000030002
Cabp4	ENSMUSG00000024842
Gpr152	ENSMUSG00000044724
Ppp2r5e	ENSMUSG00000021051
Wdr89	ENSMUSG00000045690
Slc12a2	ENSMUSG00000024597
Peli3	ENSMUSG00000024901
Aven	ENSMUSG00000003604
Spag7	ENSMUSG00000018287
St3gal1	ENSMUSG00000013846
Plekhf2	ENSMUSG00000049969
Cnot6	ENSMUSG00000020362
Kdsr	ENSMUSG00000009905
Onecut3	ENSMUSG00000045518
Tcf3	ENSMUSG00000020167
Fsd1l	ENSMUSG00000054752
Usp6nl	ENSMUSG00000039046
Srd5a2	ENSMUSG00000038541
Ckmt1	ENSMUSG00000000308
Rufy3	ENSMUSG00000029291
Rhot1	ENSMUSG00000017686
Poc1a	ENSMUSG00000023345
Senp3	ENSMUSG00000005204
Mtor	ENSMUSG00000028991
Trmt2a	ENSMUSG00000022721
Tsg101	ENSMUSG00000014402
Frmpd2	ENSMUSG00000108841
Atg4b	ENSMUSG00000026280
Dtymk	ENSMUSG00000026281
Psmb2	ENSMUSG00000028837
5730409E04Rik	ENSMUSG00000073755
Nectin1	ENSMUSG00000032012
Zfyve26	ENSMUSG00000066440
Zfp36l2	ENSMUSG00000045817
Slc31a2	ENSMUSG00000066152
Il23a	ENSMUSG00000025383
Stat2	ENSMUSG00000040033
Dpysl3	ENSMUSG00000024501
Dscaml1	ENSMUSG00000032087
Aacs	ENSMUSG00000029482
Bri3bp	ENSMUSG00000037905
Gjc2	ENSMUSG00000043448
Riok3	ENSMUSG00000024404
Tnfaip3	ENSMUSG00000019850
Memo1	ENSMUSG00000058704
Hsp90aa1	ENSMUSG00000021270
Pou4f2	ENSMUSG00000031688
Rnf144b	ENSMUSG00000038068
Mapk8	ENSMUSG00000021936
Kif1c	ENSMUSG00000020821
Zbtb44	ENSMUSG00000047412
Ndufv1	ENSMUSG00000037916
Gstp1	ENSMUSG00000060803
Hs3st3b1	ENSMUSG00000070407
Elovl2	ENSMUSG00000021364
A130010J15Rik	ENSMUSG00000079144
Add1	ENSMUSG00000029106
Glmn	ENSMUSG00000029276
Tmem248	ENSMUSG00000053094
Als2	ENSMUSG00000026024
Mpp4	ENSMUSG00000079550
Trib2	ENSMUSG00000020601
Rdh8	ENSMUSG00000053773
Col5a3	ENSMUSG00000004098
Fxyd4	ENSMUSG00000004988
Plekhh2	ENSMUSG00000040852
Cnga1	ENSMUSG00000067220
Lyve1	ENSMUSG00000030787
Lamp1	ENSMUSG00000031447
Uba2	ENSMUSG00000052997
Wtip	ENSMUSG00000036459
Heg1	ENSMUSG00000075254
Bbs5	ENSMUSG00000063145
Cpsf7	ENSMUSG00000034820
Zfp524	ENSMUSG00000051184
Zfp579	ENSMUSG00000051550
Dixdc1	ENSMUSG00000032064
Thoc5	ENSMUSG00000034274
Nefh	ENSMUSG00000020396
Rraga	ENSMUSG00000070934
Saxo1	ENSMUSG00000028492
Ccdc77	ENSMUSG00000030177
Dnttip2	ENSMUSG00000039756
Slc16a1	ENSMUSG00000032902
Atg13	ENSMUSG00000027244
Hemk1	ENSMUSG00000032579
Cish	ENSMUSG00000032578
Gtf2h1	ENSMUSG00000006599
Ldha	ENSMUSG00000063229
Abhd17a	ENSMUSG00000003346
Scamp4	ENSMUSG00000113949
Icmt	ENSMUSG00000039662
Rnf207	ENSMUSG00000058498
Clspn	ENSMUSG00000042489
Slco4a1	ENSMUSG00000038963
Ntsr1	ENSMUSG00000027568
Mef2b	ENSMUSG00000079033
Tmem161a	ENSMUSG00000002342
Ttc7b	ENSMUSG00000033530
Arhgap10	ENSMUSG00000037148
Arl13b	ENSMUSG00000022911
