gene	k50_group	q50_group	GENEID	p10.ehet.lfc	p10.ehet.padj	p10.ehom.lfc	p10.ehom.padj	p10.khet.lfc	p10.khet.padj	p10.khom.lfc	p10.khom.padj	p10.rhom.lfc	p10.rhom.padj	p21.ehet.lfc	p21.ehet.padj	p21.ehom.lfc	p21.ehom.padj	p21.khet.lfc	p21.khet.padj	p21.khom.lfc	p21.khom.padj	p21.rhom.lfc	p21.rhom.padj
0610009B22Rik	3	3	ENSMUSG00000007777	0.399855275	0.07000736	0.088123705	0.762862054	0.073312439	0.876706913	0.507511614	0.025117193	-0.820297616	0.000269268	-0.092222112	0.578348846	-0.161175283	0.4505917	-0.742025517	1.17e-05	-0.580506208	0.000686541	-0.468252682	0.007581032
1110002E22Rik	1	1	ENSMUSG00000090066	-0.190851555	0.465266609	-0.06536397	0.846359493	0.169680401	0.619951752	0.124798659	0.726222548	0.419181807	0.131103165	-0.032038519	0.864643131	0.049029371	0.883040619	-0.145729011	0.559165555	0.11227819	0.700287027	0.099883223	0.750598144
1110004F10Rik	3	0	ENSMUSG00000030663	-0.122151005	0.637894916	-0.050686943	0.881310063	0.069646209	0.885288972	-0.142217777	0.654567453	0.273554942	0.286657162	0.017412094	0.926910854	0.103783416	0.750772132	0.093127557	0.747612109	0.255279061	0.422395624	0.121619102	0.694453842
1110032F04Rik	1	0	ENSMUSG00000046999	-0.012870136	0.965959071	0.080936126	0.80360368	0.049936313	0.912768209	0.751481058	0.042965958	-0.03879203	0.90515805	-0.489378692	0.074037096	-0.067714372	0.843000993	-0.464083751	0.129135429	0.08053506	0.841200741	-0.21316138	0.439701436
1110038F14Rik	3	2	ENSMUSG00000063236	0.240180173	0.238783586	-0.309119385	0.171509221	-0.122303527	0.764100675	-0.457739125	0.026906408	-0.347407881	0.091090354	-0.177404739	0.153271716	-0.094405791	0.582808411	-0.272696907	0.029403357	-0.44138082	0.000165147	-0.229309425	0.090513838
1110051M20Rik	3	3	ENSMUSG00000040591	0.290936468	0.205069787	-0.489642772	0.05086983	0.051199274	0.923456317	-0.126199875	0.674214217	-0.228125798	0.349476514	-0.026116041	0.879564962	-0.319335002	0.07239009	0.917534682	2.64e-09	-0.224070712	0.227350577	0.06950101	0.80996135
1110059E24Rik	0	0	ENSMUSG00000035171	0.036742175	0.870681705	0.081178125	0.72564298	0.030809654	0.956538348	0.139337248	0.496203787	-0.915402444	7.8e-09	0.038379195	0.803020025	0.185878728	0.239874505	0.028592594	0.886024335	0.146438138	0.331163212	0.051306075	0.846605899
1110059G10Rik	3	2	ENSMUSG00000032551	0.010768989	0.969396619	-0.2325855	0.327300004	-0.32325637	0.186341789	-0.252049643	0.269343238	-0.122155309	0.608830388	0.104033266	0.500314826	-0.10906393	0.618322219	0.083239767	0.656282844	-0.020407883	0.926418443	0.087720461	0.720435245
1190005I06Rik	3	0	ENSMUSG00000043687	0.708908638	0.009611289	-0.144700583	0.625038885	-1.283316482	7.99e-06	-2.085074595	4.76e-14	-1.68908436	2.15e-09	-0.236016547	0.144145289	-0.283214058	0.138048776	-2.000953912	9.11e-31	-2.712432112	1.57e-48	-1.415540937	4.41e-17
1700001J03Rik	3	1	ENSMUSG00000095040	0.046476998		0.010681015	0.975573848	0.033887054	0.929804575	0.013969169	0.97273736	-0.118066641	0.644391854	0.063441013		-0.028123273	0.933401041	-0.037155122	0.903660557	-0.125756484	0.771118638	-0.064087628	0.829722375
1700001K19Rik	3	3	ENSMUSG00000056508	-0.041357449	0.878156063	-0.245630507	0.381720558	0.076487562	0.874667302	-0.128967554	0.683815801	0.054764075	0.865642188	0.014473768	0.943385157	-0.23099326	0.347880284	0.963060199	1.52e-06	0.794918947	8.65e-05	-0.144348389	0.599188064
