genotype	rep	gene	p0	p3	p5	p7	p10	p14	p21
wt	1	Crx	8.471038 	6.66156 	6.67069 	5.210111 	5.313127531	5.574922678	6.132370 
wt	2	Crx	8.003223 	6.74084 	6.28901 	4.982304 	5.092901421	5.009896113	5.303747 
wt	3	Crx	8.175591 	6.13777 	6.63006 	5.681327 	5.094154969	5.543354564	5.926696 
wt	4	Crx	7.582545 	6.57737 	5.47057 	5.405380 	4.889623519	4.920684113	5.140516 
wt	5	Crx		7.245034 	5.63943 				6.731101 
wt	6	Crx		6.385239 	6.18233 				6.26891 
wt	7	Crx			6.05850 				6.19986 
ehet	1	Crx	8.616289 	5.882983 	6.45416 	4.552189 	6.032789914	5.818724089	7.078633 
ehet	2	Crx	8.074152 	6.287834 	6.71503 	5.059693 	5.518406351	5.866528583	7.263606 
ehet	3	Crx	7.228626 	5.759479 	6.67030 	5.306414 	5.910177095	5.514703948	6.585662 
ehet	4	Crx	7.906514 	5.598772 	6.31532 	5.942637 	5.8366419		6.756044 
ehet	5	Crx			6.90841 				
ehet	6	Crx		6.966339 	7.18744 				
ehom	1	Crx	8.938044 	6.622993 	5.06439 	5.315212 	5.742631892	6.166362634	7.187567 
ehom	2	Crx	7.967574 	6.723374 	6.12978 	4.903310 	5.666792431	5.186898823	6.733310 
ehom	3	Crx	8.178934 	6.829055 	5.13427 	5.809898 	5.055613229	6.06537077	6.970357 
ehom	4	Crx	8.768800 	5.996599 	5.49296 	5.572186 	5.25985393	6.218706968	7.636269 
ehom	5	Crx			5.29945 				
ehom	6	Crx		6.040226 	5.19712 				
khet	1	Crx	7.011028 	7.059166 	6.11418 	6.43495 	5.845839205	4.625658713	6.379267646
khet	2	Crx	7.042375 	6.558057 	7.03612 	6.85965 	6.135026282	5.940544024	7.110800299
khet	3	Crx	7.436773 	7.119177 		6.345742 	5.38267722	5.570239988	6.661788829
khet	4	Crx	7.150245 	7.410972 	7.04644 	6.476762 	5.222970415	5.850059968	5.661058178
khet	5	Crx		6.516415 	6.76594 				
khet	6	Crx		7.579992 	6.34892 				
khom	1	Crx	7.350014 	5.646613 	5.49663 	3.502555515	6.140998536	6.797974734	6.969775622
khom	2	Crx	7.842543 	5.968656 	5.90569 	4.573879896	5.753889079	5.906277175	7.246452473
khom	3	Crx	7.728479 	6.256700 	5.86775 	5.353644986	5.807138309	6.294185044	7.176489934
khom	4	Crx	7.588110 	6.640067 	5.09209 	5.686729581	6.125146757	6.45796021	6.86287972
khom	5	Crx		7.048374 	7.15823 	6.95189 			
khom	6	Crx		5.631035 	6.69775 	7.39330 			
khom	7	Crx				6.026988434			
khom	8	Crx				5.497475666			
khom	9	Crx				6.254793523			
khom	10	Crx				5.953034629			
wt	1	Nrl	10.07890 	7.66266 	6.72233 	5.868625 	6.691709678	6.523233203	5.312798 
wt	2	Nrl	9.39241 	7.72620 	6.47904 	5.381261 	6.256624567	6.083545519	4.918385 
wt	3	Nrl	9.68368 	7.55647 	6.31647 	5.900931 	6.450159237	6.682265683	5.884413 
wt	4	Nrl	9.18211 	7.68659 	6.01310 	5.823338 	6.350892757	6.2284199	5.365892 
wt	5	Nrl		7.68305 	6.18441 	5.53152 			5.952098 
wt	6	Nrl		7.51361 	6.51152 	6.36423 			5.68584 
wt	7	Nrl			6.31000 				5.66515 
ehet	1	Nrl	9.412556 	7.014695 	6.58935 	6.506865709	7.549580312	6.65243047	6.608026 
ehet	2	Nrl	9.036690 	7.305531 	6.33136 	5.882391347	6.727215131	6.583532889	6.549502 
ehet	3	Nrl	8.180955 	7.688216 	5.76125 	6.411906265	6.862597205	6.389670776	6.166505 
ehet	4	Nrl	7.990326 	7.439255 	5.89882 	6.695751745	6.620595674	6.407717 	6.117132 
ehet	5	Nrl		7.80368 	6.96253 	6.27015 			
ehet	6	Nrl		8.00349 	7.35520 	6.46195 			
ehom	1	Nrl	10.04748 	7.789545 	5.41328 	6.725568354	5.951229608	7.390685054	7.598095 
ehom	2	Nrl	9.54243 	8.390953 	6.39439 	6.27264768	7.544792695	7.108662209	7.237422 
ehom	3	Nrl	9.43552 	9.188021 	5.64903 	6.832719519	7.064612937	7.860480762	7.248879 
ehom	4	Nrl	9.78336 	8.102950 	6.20992 	6.72181463	5.581948094	7.300555507	8.014804 
ehom	5	Nrl		8.00349 	5.40825 	6.31125 			
ehom	6	Nrl		6.72987 	4.83507 	5.94597 			
khet	1	Nrl	8.413933 	6.968075 	6.38762 	6.04060 	7.345429689	7.331098175	7.983980897
khet	2	Nrl	8.559237 	7.301399 	7.12371 	7.01009 	7.391435631	8.018020554	7.788642995
khet	3	Nrl	8.784889 	6.099102 		6.192507 	6.973040201	7.557376223	8.003411982
khet	4	Nrl	8.601208 	8.052452 	7.18330 	6.832284 	6.976974613	7.506044313	7.223881651
khet	5	Nrl		6.51594 	6.55731 	6.844506017	6.69453 		
khet	6	Nrl		7.57170 	5.77815 	6.52755163	6.63148 		
khom	1	Nrl	8.686115 	6.878209 	6.30174 	6.844506017	8.469763767	9.980957686	12.63595536
khom	2	Nrl	8.898039 	7.031602 	6.57975 	6.52755163	8.206231345	9.707666929	12.65042338
khom	3	Nrl	9.180194 	7.170065 	6.83430 	6.983583981	9.738662048	9.018853934	12.40285521
khom	4	Nrl	8.976328 	7.418954 	5.84041 	7.103668386	8.503978114	9.867851415	12.23965837
khom	5	Nrl		8.05122 	7.14794 	6.61039 	7.19816 		
khom	6	Nrl		6.45828 	7.00650 	7.38868 	5.61732 		
khom	7	Nrl				7.266357966			
khom	8	Nrl				6.761674722			
khom	9	Nrl				7.518193617			
khom	10	Nrl				7.34588666			
wt	1	Rho	13.79624 	10.00994 	8.19211 	4.161605068	4.344019935	1.648332554	1.314370 
wt	2	Rho	13.21362 	10.35253 	7.73052 	5.289798136	4.555054512	1.503676987	0.199882 
wt	3	Rho	13.99812 	9.42242 	8.07985 	4.093695854	3.559982299	1.643150112	0.424613 
wt	4	Rho	12.80673 	9.81313 	6.80094 	4.252890589	3.907559067	1.43477945	0.451975 
wt	5	Rho		10.11469 	6.95785 	5.67686 	3.02646 		0.82955 
wt	6	Rho		9.70957 	7.89410 	5.88813 	3.46139 		0.45046 
wt	7	Rho			7.65255 				
ehet	1	Rho	12.86622 	9.61790 	6.99765 	5.478261388	3.423015597	2.254007321	1.605097 
ehet	2	Rho	12.42867 	9.89374 	7.06119 	3.687736838	2.940695506	2.246686758	1.293155 
ehet	3	Rho	11.90157 	9.71598 	8.17626 	4.15857705	3.211864767	1.923255998	1.294145 
ehet	4	Rho	11.94109 	9.63184 	6.80441 	4.468971038	3.632365713	2.364762 	1.401684 
ehet	5	Rho			7.37128 	5.18364 	2.51526 		
ehet	6	Rho			7.76334 	4.91583 	2.01712 		
ehom	1	Rho	14.23556 	11.99499 	7.95830 	5.380284863	4.29005465	3.029457238	3.269331 
ehom	2	Rho	13.19624 	12.13963 	8.30571 	5.249063546	3.492114601	1.568761964	2.746573 
ehom	3	Rho	13.02550 	12.03741 	8.17351 	5.756959726	3.013814055	2.74324753	3.340362 
ehom	4	Rho	13.41131 	11.65071 	7.66891 	5.165304518	4.241550861	2.968206966	2.916817 
ehom	5	Rho		11.11534 	7.26358 	5.73398 	2.49092 		
ehom	6	Rho		10.61274 	7.43294 		3.76532 		
khet	1	Rho	12.42713 	10.71426 	8.90012 	6.73658 	6.031616276	5.685999603	5.926436974
khet	2	Rho	12.21237 	11.00727 	10.11451 	7.44984 	6.947318505	6.321832095	6.044876514
khet	3	Rho	11.72032 	10.86664 		7.108776 	5.582444645	5.90986101	6.043253007
khet	4	Rho	11.57734 	12.54969 	8.84890 	7.067532 	5.835842351	6.041291068	4.771746995
