peak.id	seqnames	start	end	width	strand	WT	E80A	K88N	R90W	cluster	row_cluster	small.cluster	khom_cluster	ehom_cluster
peak.1	chr1	4357578	4357978	401	*	475.6448674	447.842962	67.26154634	66.17533705	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.2	chr1	4358409	4358809	401	*	51.59855564	65.33015725	8.407693293	20.83297648	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.3	chr1	4360133	4360533	401	*	323.6636672	231.0225851	60.05495209	49.01876818	e80a.lost	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.4	chr1	4383639	4384039	401	*	322.7255116	284.044162	80.4736358	52.6951758	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.5	chr1	4802426	4802826	401	*	99.44448905	17.04264972	15.61428754	29.41126091	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.lost
peak.6	chr1	4857484	4857884	401	*	93.8155557	96.57501506	7.206594251	19.60750727	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.7	chr1	4904619	4905019	401	*	44.09331118	232.9162128	9.608792334	20.83297648	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.gained
peak.8	chr1	4908211	4908611	401	*	18.76311114	55.86201852	4.804396167	11.02922284	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.9	chr1	4970580	4970980	401	*	215.7757781	203.5649827	30.02747605	31.86219932	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.10	chr1	5070152	5070552	401	*	255.1783115	252.7993041	7.206594251	23.28391489	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.11	chr1	7397415	7397815	401	*	82.55768902	71.95785436	21.61978275	19.60750727	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.12	chr1	9545121	9545521	401	*	140.7233336	112.6708509	8.407693293	24.50938409	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.13	chr1	9748350	9748750	401	*	45.03146674	47.34069366	13.21208946	9.803753636	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.14	chr1	9944026	9944426	401	*	67.54720011	99.41545668	18.01648563	18.38203807	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.15	chr1	9982079	9982479	401	*	89.12477792	10.41495261	10.80989138	12.25469205	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.lost
peak.16	chr1	10008981	10009381	401	*	112.5786668	91.8409457	16.81538659	23.28391489	e80a.notDB	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.17	chr1	10024763	10025163	401	*	182.9403336	100.3622706	20.41868371	34.31313773	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.18	chr1	10037998	10038398	401	*	50.66040008	54.91520464	6.005495209	14.70563045	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.19	chr1	10155883	10156283	401	*	145.4141113	62.48971563	26.42417892	23.28391489	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.20	chr1	10228928	10229328	401	*	85.37215569	118.3517341	21.61978275	24.50938409	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.21	chr1	13200240	13200640	401	*	28.14466671	48.28750753	4.804396167	15.93109966	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.22	chr1	13203753	13204153	401	*	412.7884451	391.9809435	14.4131885	73.52815227	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.23	chr1	13372362	13372762	401	*	74.11428901	84.26643471	8.407693293	13.48016125	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.24	chr1	13494995	13495395	401	*	117.2694446	160.9583584	9.608792334	20.83297648	e80a.notDB	e80a.gained	e80a_shared	k88n.lost	e80a.notDB
peak.25	chr1	15805279	15805679	401	*	90.06293348	81.42599309	7.206594251	18.38203807	e80a.notDB	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.26	chr1	16053552	16053952	401	*	154.7956669	48.28750753	6.005495209	24.50938409	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.27	chr1	16104297	16104697	401	*	103.1971113	98.46864281	10.80989138	14.70563045	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.28	chr1	16108868	16109268	401	*	198.8889781	96.57501506	33.63077317	25.7348533	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB
peak.29	chr1	16229526	16229926	401	*	14.07233336	7.574510985	74.46814059	12.25469205	k88n.gained	k88n.gained	k88n_unique	k88n.gained	
peak.30	chr1	16656920	16657320	401	*	74.11428901	88.05369021	10.80989138	17.15656886	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.31	chr1	17100322	17100722	401	*	41.27884451	152.4370336	22.82088179	31.86219932	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.32	chr1	19615829	19616229	401	*	14.07233336	9.468138732	68.46264538	12.25469205	k88n.gained	k88n.gained	k88n_unique	k88n.gained	
peak.33	chr1	19900071	19900471	401	*	46.90777785	80.47917922	18.01648563	13.48016125	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.34	chr1	23825449	23825849	401	*	21.57757781	71.95785436	9.608792334	11.02922284	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.35	chr1	24005550	24005950	401	*	100.3826446	144.8625226	10.80989138	9.803753636	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.36	chr1	24279977	24280377	401	*	119.1457557	185.5755191	16.81538659	19.60750727	e80a.gained	e80a.gained	e80a_shared	k88n.lost	e80a.notDB
peak.37	chr1	24492050	24492450	401	*	166.9916892	209.245866	10.80989138	39.21501455	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.38	chr1	24759023	24759423	401	*	43.15515562	65.33015725	10.80989138	18.38203807	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.39	chr1	30833633	30834033	401	*	41.27884451	121.1921758	15.61428754	15.93109966	e80a.gained	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.40	chr1	33527499	33527899	401	*	31.89728894	91.8409457	27.62527796	9.803753636	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.41	chr1	33889991	33890391	401	*	6.567088899	5.680883239	64.85934826	8.578284432	k88n.gained	k88n.gained	k88n_unique	k88n.gained	
peak.42	chr1	34001143	34001543	401	*	93.8155557	121.1921758	8.407693293	41.66595295	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB
peak.43	chr1	34120728	34121128	401	*	70.36166678	72.90466824	21.61978275	18.38203807	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB
peak.44	chr1	34124410	34124810	401	*	133.2180891	231.0225851	34.83187221	47.79329898	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
peak.45	chr1	34211742	34212142	401	*	84.43400013	166.6392417	33.63077317	52.6951758	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB
