seqnames	start	end	vsx2.peak.id	ints_cluster
chr1	4069172	4069572	vsx2_chip_e14.5_1	e14.5
chr1	6734772	6735172	vsx2_chip_e14.5_2	e14.5
chr1	9600354	9600754	vsx2_chip_e14.5_3	e14.5
chr1	12410067	12410467	vsx2_chip_e14.5_4	e14.5
chr1	12689591	12689991	vsx2_chip_e14.5_5	e14.5
chr1	12701140	12701540	vsx2_chip_e14.5_6	e14.5
chr1	14509669	14510069	vsx2_chip_e14.5_7	e14.5
chr1	14570658	14571058	vsx2_chip_e14.5_8	e14.5
chr1	19109658	19110058	vsx2_chip_e14.5_9	e14.5
chr1	20303092	20303492	vsx2_chip_e14.5_10	e14.5
chr1	23383347	23383747	vsx2_chip_e14.5_11	e14.5
chr1	24246492	24246892	vsx2_chip_e14.5_12	e14.5
chr1	32174287	32174687	vsx2_chip_e14.5_13	e14.5
chr1	33025509	33025909	vsx2_chip_e14.5_14	e14.5
chr1	33496007	33496407	vsx2_chip_e14.5_15	e14.5
chr1	33684966	33685366	vsx2_chip_e14.5_16	e14.5
chr1	33721209	33721609	vsx2_chip_e14.5_17	e14.5
chr1	34022870	34023270	vsx2_chip_e14.5_18	e14.5
chr1	34099804	34100204	vsx2_chip_e14.5_19	e14.5
chr1	34434603	34435003	vsx2_chip_e14.5_20	e14.5
chr1	34751006	34751406	vsx2_chip_e14.5_21	e14.5
chr1	36683498	36683898	vsx2_chip_e14.5_22	e14.5
chr1	36841805	36842205	vsx2_chip_e14.5_23	e14.5
chr1	37097374	37097774	vsx2_chip_e14.5_24	e14.5
chr1	38843348	38843748	vsx2_chip_e14.5_25	e14.5
chr1	39196157	39196557	vsx2_chip_e14.5_26	e14.5
chr1	39312149	39312549	vsx2_chip_e14.5_27	e14.5
chr1	40680596	40680996	vsx2_chip_e14.5_28	e14.5
chr1	41742901	41743301	vsx2_chip_e14.5_29	e14.5
chr1	41811856	41812256	vsx2_chip_e14.5_30	e14.5
chr1	41935881	41936281	vsx2_chip_e14.5_31	e14.5
chr1	42540177	42540577	vsx2_chip_e14.5_32	e14.5
chr1	43504172	43504572	vsx2_chip_e14.5_33	e14.5
chr1	43760053	43760453	vsx2_chip_e14.5_34	e14.5
chr1	44042201	44042601	vsx2_chip_e14.5_35	e14.5
chr1	46830052	46830452	vsx2_chip_e14.5_36	e14.5
chr1	46845247	46845647	vsx2_chip_e14.5_37	e14.5
chr1	51638947	51639347	vsx2_chip_e14.5_38	e14.5
chr1	52079702	52080102	vsx2_chip_e14.5_39	e14.5
chr1	53927562	53927962	vsx2_chip_e14.5_40	e14.5
chr1	54193278	54193678	vsx2_chip_e14.5_41	e14.5
chr1	54877435	54877835	vsx2_chip_e14.5_42	e14.5
chr1	55501065	55501465	vsx2_chip_e14.5_43	e14.5
chr1	55666254	55666654	vsx2_chip_e14.5_44	e14.5
chr1	56974215	56974615	vsx2_chip_e14.5_45	e14.5
chr1	57428874	57429274	vsx2_chip_e14.5_46	e14.5
chr1	57607790	57608190	vsx2_chip_e14.5_47	e14.5
chr1	59257251	59257651	vsx2_chip_e14.5_48	e14.5
chr1	59327057	59327457	vsx2_chip_e14.5_49	e14.5
chr1	59341194	59341594	vsx2_chip_e14.5_50	e14.5
chr1	59394562	59394962	vsx2_chip_e14.5_51	e14.5
chr1	59535398	59535798	vsx2_chip_e14.5_52	e14.5
chr1	61090691	61091091	vsx2_chip_e14.5_53	e14.5
chr1	61146340	61146740	vsx2_chip_e14.5_54	e14.5
chr1	61298811	61299211	vsx2_chip_e14.5_55	e14.5
chr1	61301595	61301995	vsx2_chip_e14.5_56	e14.5
chr1	61397889	61398289	vsx2_chip_e14.5_57	e14.5
chr1	62325131	62325531	vsx2_chip_e14.5_58	e14.5
chr1	62411307	62411707	vsx2_chip_e14.5_59	e14.5
chr1	62429555	62429955	vsx2_chip_e14.5_60	e14.5
chr1	62465984	62466384	vsx2_chip_e14.5_61	e14.5
chr1	62564129	62564529	vsx2_chip_e14.5_62	e14.5
chr1	62697562	62697962	vsx2_chip_e14.5_63	e14.5
chr1	62886183	62886583	vsx2_chip_e14.5_64	e14.5
chr1	63576757	63577157	vsx2_chip_e14.5_65	e14.5
chr1	63819619	63820019	vsx2_chip_e14.5_66	e14.5
chr1	63994577	63994977	vsx2_chip_e14.5_67	e14.5
chr1	64066901	64067301	vsx2_chip_e14.5_68	e14.5
chr1	64253932	64254332	vsx2_chip_e14.5_69	e14.5
chr1	64381304	64381704	vsx2_chip_e14.5_70	e14.5
chr1	64916793	64917193	vsx2_chip_e14.5_71	e14.5
chr1	65186125	65186525	vsx2_chip_e14.5_72	e14.5
chr1	66862290	66862690	vsx2_chip_e14.5_73	e14.5
chr1	67795031	67795431	vsx2_chip_e14.5_74	e14.5
chr1	68046969	68047369	vsx2_chip_e14.5_75	e14.5
chr1	68142584	68142984	vsx2_chip_e14.5_76	e14.5
chr1	68666827	68667227	vsx2_chip_e14.5_77	e14.5
chr1	68875293	68875693	vsx2_chip_e14.5_78	e14.5
chr1	69046545	69046945	vsx2_chip_e14.5_79	e14.5
chr1	69498991	69499391	vsx2_chip_e14.5_80	e14.5
chr1	71099918	71100318	vsx2_chip_e14.5_81	e14.5
chr1	71292006	71292406	vsx2_chip_e14.5_82	e14.5
chr1	71343220	71343620	vsx2_chip_e14.5_83	e14.5
chr1	71837710	71838110	vsx2_chip_e14.5_84	e14.5
chr1	72226278	72226678	vsx2_chip_e14.5_85	e14.5
chr1	72284079	72284479	vsx2_chip_e14.5_86	e14.5
chr1	72874265	72874665	vsx2_chip_e14.5_87	e14.5
chr1	73060426	73060826	vsx2_chip_e14.5_88	e14.5
chr1	74600587	74600987	vsx2_chip_e14.5_89	e14.5
chr1	75423883	75424283	vsx2_chip_e14.5_90	e14.5
chr1	75667893	75668293	vsx2_chip_e14.5_91	e14.5
chr1	75693062	75693462	vsx2_chip_e14.5_92	e14.5
chr1	76786869	76787269	vsx2_chip_e14.5_93	e14.5
chr1	77629908	77630308	vsx2_chip_e14.5_94	e14.5
chr1	78141631	78142031	vsx2_chip_e14.5_95	e14.5
chr1	78167665	78168065	vsx2_chip_e14.5_96	e14.5
chr1	78721328	78721728	vsx2_chip_e14.5_97	e14.5
chr1	80408698	80409098	vsx2_chip_e14.5_98	e14.5
chr1	82324340	82324740	vsx2_chip_e14.5_99	e14.5
chr1	82687880	82688280	vsx2_chip_e14.5_100	e14.5
chr1	83285893	83286293	vsx2_chip_e14.5_101	e14.5
chr1	85934808	85935208	vsx2_chip_e14.5_102	e14.5
chr1	89429714	89430114	vsx2_chip_e14.5_103	e14.5
chr1	89671523	89671923	vsx2_chip_e14.5_104	e14.5
chr1	89689782	89690182	vsx2_chip_e14.5_105	e14.5
chr1	89703135	89703535	vsx2_chip_e14.5_106	e14.5
chr1	89739235	89739635	vsx2_chip_e14.5_107	e14.5
chr1	89751033	89751433	vsx2_chip_e14.5_108	e14.5
