peak.id	seqnames	start	end	width	strand	WT	E80A	K88N	R90W	cluster	row_cluster	small.cluster	khom_cluster	ehom_cluster	k50_mono	k50_di	q50_mono	q50_di	gene	k50_group	q50_group
peak.1	chr1	4357578	4357978	401	*	475.6448674	447.842962	67.26154634	66.17533705	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	1	0	1	Rp1	3	3
peak.2	chr1	4358409	4358809	401	*	51.59855564	65.33015725	8.407693293	20.83297648	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Rp1	3	3
peak.3	chr1	4360133	4360533	401	*	323.6636672	231.0225851	60.05495209	49.01876818	e80a.lost	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	1	1	Rp1	3	3
peak.4	chr1	4383639	4384039	401	*	322.7255116	284.044162	80.4736358	52.6951758	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB	1	0	0	0	Rp1	3	3
peak.5	chr1	4802426	4802826	401	*	99.44448905	17.04264972	15.61428754	29.41126091	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.lost	0	1	0	1	Lypla1	2	2
peak.6	chr1	4857484	4857884	401	*	93.8155557	96.57501506	7.206594251	19.60750727	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Tcea1	1	0
peak.7	chr1	4904619	4905019	401	*	44.09331118	232.9162128	9.608792334	20.83297648	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.gained	1	1	1	0	Rgs20	3	1
peak.8	chr1	4908211	4908611	401	*	18.76311114	55.86201852	4.804396167	11.02922284	e80a.gained	e80a.gained	e80a_shared	k88n.notDB	e80a.notDB	1	0	1	0	Rgs20	3	1
peak.9	chr1	4970580	4970980	401	*	215.7757781	203.5649827	30.02747605	31.86219932	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	1	1	0	Rgs20	3	1
peak.10	chr1	5070152	5070552	401	*	255.1783115	252.7993041	7.206594251	23.28391489	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	0	0	0	0	Rgs20	3	1
peak.11	chr1	7397415	7397815	401	*	82.55768902	71.95785436	21.61978275	19.60750727	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB	1	0	1	1	Pcmtd1	1	3
peak.12	chr1	9545121	9545521	401	*	140.7233336	112.6708509	8.407693293	24.50938409	e80a.notDB	e80a.notDB	e80a_shared	k88n.lost	e80a.notDB	1	0	0	0	Adhfe1	1	0
peak.13	chr1	9748350	9748750	401	*	45.03146674	47.34069366	13.21208946	9.803753636	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB	0	0	0	0	Vcpip1	0	0
peak.14	chr1	9944026	9944426	401	*	67.54720011	99.41545668	18.01648563	18.38203807	e80a.notDB	e80a.notDB	e80a_shared	k88n.notDB	e80a.notDB	1	0	1	1	Mcmdc2	1	3
peak.15	chr1	9982079	9982479	401	*	89.12477792	10.41495261	10.80989138	12.25469205	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.lost	1	1	1	0	Ppp1r42	3	1
peak.16	chr1	10008981	10009381	401	*	112.5786668	91.8409457	16.81538659	23.28391489	e80a.notDB	e80a.lost	e80a_shared	k88n.lost	e80a.notDB	1	1	0	0	Ppp1r42	3	1
peak.17	chr1	10024763	10025163	401	*	182.9403336	100.3622706	20.41868371	34.31313773	e80a.lost	e80a.lost	e80a_shared	k88n.lost	e80a.notDB	1	1	0	1	Cops5	3	2
